Category Name,SubCategory Name,Code Name,Interested
health,Laboratory Testing,laboratorytesting,1
health,Dialysis Clinics,dialysisclinics,1
health,Dietitians,dietitians,1
health,Doctors,physicians,1
health,Addiction Medicine,addictionmedicine,1
health,Allergists,allergist,1
health,Anesthesiologists,anesthesiologists,1
health,Audiologist,audiologist,1
health,Cardiologists,cardiology,1
health,Cosmetic Surgeons,cosmeticsurgeons,1
health,Dermatologists,dermatology,1
health,Ear Nose & Throat,earnosethroat,1
health,Emergency Medicine,emergencymedicine,1
health,Endocrinologists,endocrinologists,1
health,Family Practice,familydr,1
health,Fertility,fertility,1
health,Gastroenterologist,gastroenterologist,1
health,Geneticists,geneticists,1
health,Gerontologists,gerontologist,1
health,Hepatologists,hepatologists,1
health,Homeopathic,homeopathic,1
health,Hospitalists,hospitalists,1
health,Immunodermatologists,immunodermatologists,1
health,Infectious Disease Specialists,infectiousdisease,1
health,Internal Medicine,internalmed,1
health,Naturopathic/Holistic,naturopathic,1
health,Nephrologists,nephrologists,1
health,Neurologist,neurologist,1
health,Neuropathologists,neuropathologists,1
health,Neurotologists,neurotologists,1
health,Obstetricians & Gynecologists,obgyn,1
health,Oncologist,oncologist,1
health,Ophthalmologists,opthamalogists,1
health,Retina Specialists,retinaspecialists,1
health,Orthopedists,orthopedists,1
health,Osteopathic Physicians,osteopathicphysicians,1
health,Otologists,otologists,1
health,Pain Management,painmanagement,1
health,Pathologists,pathologists,1
health,Pediatricians,pediatricians,1
health,Phlebologists,phlebologists,1
health,Plastic Surgeons,plasticsurgeons,1
health,Podiatrists,podiatrists,1
health,Preventive Medicine,preventivemedicine,1
health,Proctologists,proctologist,1
health,Psychiatrists,psychiatrists,1
health,Pulmonologist,pulmonologist,1
health,Radiologists,radiologists,1
health,Rheumatologists,rhematologists,1
health,Spine Surgeons,spinesurgeons,1
health,Sports Medicine,sportsmed,1
health,Surgeons,surgeons,1
health,Tattoo Removal,tattooremoval,1
health,Toxicologists,toxicologists,1
health,Tropical Medicine,tropicalmedicine,1
health,Undersea/Hyperbaric Medicine,underseamedicine,1
health,Urologists,urologists,1
health,Vascular Medicine,vascularmedicine,1
health,Doulas,doulas,1
health,Emergency Rooms,emergencyrooms,1
health,Float Spa,floatspa,1
health,Habilitative Services,habilitativeservices,1
health,Halfway Houses,halfwayhouses,1
health,Halotherapy,halotherapy,1
health,Health Coach,healthcoach,1
health,Health Insurance Offices,healthinsurance,1
health,Hearing Aid Providers,hearingaidproviders,1
health,Hearing Aids,hearing_aids,1
health,Herbal Shops,herbalshops,1
health,Home Health Care,homehealthcare,1
health,Hospice,hospice,1
health,Hospitals,hospitals,1
health,Hydrotherapy,hydrotherapy,1
health,Hypnosis/Hypnotherapy,hypnosis,1
health,IV Hydration,ivhydration,1
health,Lactation Services,lactationservices,1
health,Laser Eye Surgery/Lasik,laserlasikeyes,1
health,Lice Services,liceservices,1
health,Massage Therapy,massage_therapy,1
health,Medical Cannabis Referrals,cannabisreferrals,1
health,Medical Centers,medcenters,1
health,Bulk Billing,bulkbilling,1
health,Osteopaths,osteopaths,1
health,Walk-in Clinics,walkinclinics,1
health,Medical Foot Care,medicalfoot,1
health,Medical Spas,medicalspa,1
health,Aestheticians,aestheticians,1
health,Medical Transportation,medicaltransportation,1
health,Memory Care,memorycare,1
health,Midwives,midwives,1
health,Nurse Practitioner,nursepractitioner,1
health,Nutritionists,nutritionists,1
health,Occupational Therapy,occupationaltherapy,1
health,Optometrists,optometrists,1
health,Organ & Tissue Donor Services,organdonorservices,1
health,Orthotics,orthotics,1
health,Oxygen Bars,oxygenbars,1
health,Personal Care Services,personalcare,1
health,Pharmacy,pharmacy,1
health,Physical Therapy,physicaltherapy,1
health,Placenta Encapsulations,placentaencapsulation,1
health,Postpartum Care,postpartumcare,1
health,Prenatal/Perinatal Care,prenatal,1
health,Prosthetics,prosthetics,1
health,Prosthodontists,prosthodontists,1
health,Psychotechnical Tests,psychotechnicaltests,1
health,Reflexology,reflexology,1
health,Rehabilitation Center,rehabilitation_center,1
health,Reiki,reiki,1
health,Reproductive Health Services,reproductivehealthservices,1
health,Retirement Homes,retirement_homes,1
health,Saunas,saunas,1
health,Skilled Nursing,skillednursing,1
health,Sleep Specialists,sleepspecialists,1
health,Speech Therapists,speech_therapists,1
health,Sperm Clinic,spermclinic,1
health,Traditional Chinese Medicine,tcm,1
health,Tui Na,tuina,1
health,Ultrasound Imaging Centers,ultrasoundimagingcenters,1
health,Urgent Care,urgent_care,1
health,Weight Loss Centers,weightlosscenters,1
,,,
homeservices,Artificial Turf,artificialturf,1
homeservices,Building Supplies,buildingsupplies,1
homeservices,Cabinetry,cabinetry,1
homeservices,Carpenters,carpenters,1
homeservices,Carpet Installation,carpetinstallation,1
homeservices,Carpeting,carpeting,1
homeservices,Childproofing,childproofing,1
homeservices,Chimney Sweeps,chimneysweeps,1
homeservices,Countertop Installation,countertopinstall,1
homeservices,Damage Restoration,damagerestoration,1
homeservices,Decks & Railing,decksrailing,1
homeservices,Demolition Services,demolitionservices,1
homeservices,Door Sales/Installation,doorsales,1
homeservices,Drywall Installation & Repair,drywall,1
homeservices,Electricians,electricians,1
homeservices,Excavation Services,excavationservices,1
homeservices,Fences & Gates,fencesgates,1
homeservices,Fire Protection Services,fireprotection,1
homeservices,Fireplace Services,fireplace,1
homeservices,Firewood,firewood,1
homeservices,Flooring,flooring,1
homeservices,Foundation Repair,foundationrepair,1
homeservices,Furniture Assembly,furnitureassembly,1
homeservices,Garage Door Services,garage_door_services,1
